,Date,ADBE,AMD,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CHTR,CHKP,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DLTR,EBAY,EA,EXC,EXPE,FAST,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MELI,MCHP,MU,MSFT,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PEP,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,NDX
504,1/2/15,72.33999634,2.670000076,56.20000076,26.47750092,26.16865349,15.42599964,123.8593292,45.85077667,81.63999939,24.46645164,22.15409279,98.04826355,59.52999878,68.48707581,223.0800018,342.0100098,92.16999817,1142.060059,77.31408691,18.82999992,166.4299927,78.45999908,71.24981689,20.82620239,48.21493912,23.63380814,4.572500229,115.4016953,10.36787224,13.62749958,70.34999847,21.79109573,46.0283165,19.56482506,81.49369812,18.46565628,70.55222321,73.66500092,185.4199982,73.76000214,28.27007294,84.31801605,58.39666748,57.88010788,69.35736847,50.09999847,48.34000015,55.34000015,71.18310547,124.5825043,18.91716766,34.16189575,40.45274734,30.53998756,18.02666664,17.2380619,49.84857178,4.832803249,70.72044373,192.1100006,32.13292694,35.15048981,72.85807037,56.64672852,410.1600037,42.97052765,32.54000092,3.093392611,63.21873474,58.79000092,34.40089798,43.09999847,27.18134308,28.10000038,14.62066746,42.00593948,22.61000061,126.8399963,57.18999863,61.92309952,123.0699997,56.03929901,80.41000366,92.75574493,27.38582039,4145.84
505,1/5/15,71.98000336,2.660000086,56.99000168,25.97299957,25.62315178,15.10949993,122.3874969,45.01697922,80.86000061,23.77719116,21.44403458,94.75260925,58.65999985,68.43772125,219.7899933,336.7399902,93.11000061,1097.579956,76.07817078,18.39999962,160.5,78.01000214,69.95106506,20.41133308,47.91285324,23.15182686,4.527500153,114.0896149,10.08734798,13.86499977,69.62000275,21.60888672,45.73370361,19.00761604,80.01131439,18.15010452,71.94972229,73.15499878,190.7200012,74.22000122,27.95130157,83.98521423,57.15222168,56.5872879,68.51061249,47.74000168,46.13000107,55.95999908,69.23299408,123.0481262,18.49556541,33.20831299,40.0807457,30.08343697,18.23833275,17.34099007,47.31142807,4.751178741,69.97465515,188.7200012,31.05317879,35.21130371,72.31034088,56.37979507,412.4700012,42.93844223,33.04999924,3.022280693,62.19269562,56.84000015,33.74193954,42.54000092,26.81295204,27.62000084,14.00599957,41.35401154,22.29000092,127.1500015,56.24000168,61.11965179,121.0299988,54.9332428,80.01000214,91.52941895,27.07496452,4089.65
506,1/6/15,70.52999878,2.630000114,57.45000076,25.33200073,25.02928162,14.76449966,118.4444504,43.96028137,79.26000214,23.77942467,20.63632774,91.9499054,57.5,67.87037659,220.1799927,334.6499939,90.27999878,1079.959961,74.34790802,17.90999985,156.3099976,77.94999695,69.81484222,20.40379715,46.66788864,22.84980774,4.476250172,115.5972748,9.685357094,13.55249977,68.66999817,21.32976913,45.134655,18.86180496,79.98279572,17.83844185,72.5890274,73.38999939,188.3099976,71.48999786,27.43035889,81.40605164,57.75444412,54.91568756,67.36697388,47.58000183,46.11999893,55.56999969,68.36322021,120.8504715,18.13720703,32.31371689,39.49246216,29.87589836,18.71333313,17.63756561,46.50143051,4.607130527,66.64163208,188.0800018,31.09562111,34.96044922,71.76260376,55.57905579,396.8900146,43.02096558,31.45000076,2.977834702,60.20956039,55.77999878,33.46737289,42.15999985,26.75321388,27.93000031,14.08533287,40.67066956,22.57999992,126.9499969,55.18000031,60.90670395,117.3600006,55.07336044,79.41999817,89.48834229,27.21902466,4142.14
507,1/7/15,71.11000061,2.579999924,59.56999969,25.25749969,24.9864006,14.92099953,122.5811462,44.42257309,79.70999908,24.11287117,20.83159637,92.47027588,57.38000107,68.46240234,224.3500061,353.2399902,93.76000214,1069.569946,76.35626221,18.42000008,156.7899933,78.58999634,69.45153809,20.59236717,48.19664001,22.82912254,4.489999771,117.6101074,9.812606812,13.89999962,70.83000183,21.29487038,45.96940231,18.88784599,79.98279572,17.72157669,73.94937897,74.87000275,194.9199982,74.44999695,28.00571251,82.20330811,58.07110977,55.8297081,67.71618652,47.59000015,45.93999863,57.65000153,69.92881012,120.6128769,18.23838997,31.55674171,39.99422073,30.8139267,19.32666779,17.90274048,46.74285889,4.595127106,68.43704987,189.7899933,31.51054001,35.59899139,73.86097717,56.22728348,407.7200012,43.85991669,32.15000153,3.031169176,61.20114517,56.25,34.29108047,42.20999908,28.12721443,28.10000038,14.06333256,41.40114212,22.93499947,130.5800018,55.63999939,60.94541931,120.6600037,56.48170471,79.34999847,90.8322525,27.45406151,4142.14
508,1/8/15,72.91999817,2.609999895,61.43999863,25.34550095,25.06518364,15.02299976,122.1396103,45.20685577,81.66000366,25.03934479,21.49728584,94.40570068,58.79999924,70.0329361,229.2100067,350.25,94.18000031,1082.849976,80.17214966,18.61000061,162.9400024,80.52999878,70.59591675,20.75076866,49.3225975,23.32558441,4.536250114,118.6205978,9.968772888,14.59249973,71.11000061,21.86863136,47.26568985,19.0336628,83.5177536,18.12283325,76.04563904,75.41500092,196.8200073,73.20999908,28.52663231,83.30654907,59.22222137,56.7602272,69.47084808,47.77000046,46.20999908,59.06999969,72.24512482,122.414566,18.82019806,33.10017395,41.17078781,31.20407867,19.61833382,17.99171257,47.77999878,4.767982483,71.66876984,193.2400055,31.925457,36.15391159,75.20336151,56.8221283,403.25,44.44215393,31.73999977,3.146726847,63.97747421,58.45000076,34.8444252,42.86000061,28.8938694,28.45999908,14.0413332,42.07662582,23.27000046,132.2400055,56.88000107,61.5552597,123.9700012,57.18218994,82.77999878,92.71376038,27.77249908,4171.21
509,1/9/15,71.83999634,2.630000114,62.58000183,25.0359993,24.74057579,14.8465004,120.6367722,45.17383957,80.76000214,25.06619263,21.51503754,93.20063019,58.27000046,69.53134918,226.8999939,342.3399963,93.77999878,1051.959961,81.0295639,18.54999924,161.9799957,80.58000183,70.04189301,20.96197701,49.54229736,23.28835106,4.514999866,116.7951889,9.948531151,14.54749966,69.45999908,21.56624603,46.65682983,19.00241089,83.19464111,17.91635895,75.97874451,74.99500275,194.8000031,72.02999878,28.58106995,81.55435181,57.87444305,56.9578476,69.60179901,47.59999847,46.0,58.63000107,72.08031464,121.0583496,18.76960754,32.96254349,40.82473755,30.89693451,19.50666618,18.07021713,47.04142761,4.787189007,73.9521637,187.8099976,30.75612831,35.83464432,74.69419098,56.75347519,411.0400085,43.64445877,30.54500008,3.137837887,63.87405014,57.63999939,33.7039299,42.93000031,29.12286949,27.87000084,13.77733326,42.10019684,23.40500069,131.5700073,57.34000015,61.07125854,122.2099991,55.79595566,82.59999847,94.25925446,27.4313221,4192.09
510,1/12/15,71.12000275,2.630000114,63.16999817,24.85300064,24.56007004,14.57050037,121.0163345,44.71979141,79.91999817,24.44854164,21.0002346,94.44219971,57.29000092,69.1942215,220.8899994,347.8399963,96.58000183,1039.97998,79.68552399,18.36000061,163.8500061,80.68000031,69.59685516,21.15808868,49.56975937,23.23870277,4.453750134,116.1432495,9.806822777,14.75749969,69.43000031,21.39954185,46.2149086,19.07531357,80.93304443,17.78779793,75.23538208,75.63500214,190.1000061,73.30000305,28.45667458,80.39552307,58.38999939,55.24507523,67.48921967,47.61000061,46.18000031,62.59000015,71.32955933,119.0685959,18.56302261,31.1241951,40.31431961,30.60639191,18.65999985,18.14524078,45.54714203,4.727170467,73.97976685,185.5800018,31.03903198,35.7890358,74.38559723,56.10525894,413.3299866,43.93327713,32.02999878,3.173393965,62.35651779,57.09999847,33.88979721,42.5,29.14278221,27.87000084,13.48066711,41.72317123,23.15500069,129.8399963,56.77000046,60.95508575,118.3099976,55.81808853,83.48999786,92.66335297,27.18869209,4270.36
511,1/13/15,70.58999634,2.660000086,62.65000153,25.09000015,24.74107361,14.73700047,120.1797409,44.20794678,80.62999725,24.6656208,20.70733643,94.44219971,57.34000015,69.05444336,219.6000061,352.7399902,97.12999725,1037.819946,79.23748779,18.43000031,164.3999939,79.47000122,70.39609528,21.19580841,49.56975937,23.51589775,4.440000057,114.9779129,9.702711105,14.99750042,68.0,21.37240601,45.58639908,19.01283264,80.79049683,17.87351036,72.26193237,78.0,185.0899963,76.18000031,28.3789196,80.01541901,57.96222305,54.3392868,66.83448792,47.86000061,46.47000122,63.06000137,70.8809433,118.7716293,18.53772545,30.31806564,40.10669708,30.40716934,18.8516674,18.29526711,46.25571442,4.719968319,72.95777893,182.75,30.8174324,35.7890358,74.33158875,55.64769745,406.4899902,43.48858261,31.61000061,3.146726847,62.80484009,57.31000137,34.16013718,42.40000153,29.34191132,27.69000053,13.61666679,41.46397781,23.24500084,128.8099976,56.81000137,61.40037155,120.5999985,55.49366379,83.84999847,91.8737793,27.40856934,4278.14
512,1/14/15,69.98999786,2.630000114,61.06000137,25.29649925,24.97493172,14.66349983,120.1951981,44.17491913,80.72000122,24.57162666,20.43218422,94.13181305,56.40999985,68.85706329,216.8200073,348.75,98.94000244,1035.670044,79.86315155,18.26000023,158.1300049,79.66000366,70.45059204,21.06003189,49.80776978,23.09389687,4.416250229,113.5273209,9.731632233,14.78499985,67.37000275,20.94597244,46.05778122,19.22633362,81.14211273,17.50342178,73.7858429,80.22499847,182.4100037,75.77999878,28.26229286,79.94126892,59.48444366,53.97695923,66.3892746,47.84000015,46.16999817,63.40000153,70.10274506,117.3362274,18.97618866,29.54144096,39.76064682,30.34075928,19.62333298,18.29352188,46.31999969,4.739174366,73.72197723,182.4600067,30.52981949,35.83464432,74.57848358,55.075737,404.3099976,42.4662323,31.84000015,3.120059729,61.73568344,57.0,33.97003937,42.22999954,29.44147682,27.84000015,12.84599972,41.40114212,23.02000046,128.75,56.27000046,60.95508575,120.3799973,55.29455948,81.01000214,91.36143494,27.6511898,4275.72
513,1/15/15,70.29000092,2.519999981,59.63000107,25.20050049,25.02080536,14.34749985,117.685318,43.53099823,80.83000183,23.90475082,20.70733643,93.0819397,55.70999908,68.82421112,215.9700012,339.8800049,97.77999878,998.25,78.26420593,17.72999954,160.4900055,79.0,70.53233337,20.67533684,49.28598404,23.16836929,4.37624979,113.5273209,9.864661217,14.35499954,66.41000366,20.55442238,45.80244827,19.40860176,78.42437744,17.13721657,72.40318298,79.16500092,180.9100037,72.90000153,28.1378994,78.87512207,58.26444244,55.06391907,66.93923187,47.18000031,45.75999832,62.50999832,69.67243195,115.7127304,18.74430847,28.80413055,39.34539413,30.33246231,19.37666702,18.61452103,46.25143051,4.705564022,70.53627777,179.9600067,29.87442017,35.7890358,74.57848358,54.43513489,397.1199951,41.7831459,30.54000092,3.128948927,61.50290298,54.16999817,33.6152153,41.72999954,29.05317307,27.70000076,12.7913332,41.14979935,22.82500076,127.1399994,55.56999969,60.69373322,117.7799988,55.13970947,78.05999756,87.94284821,27.89381599,4165.5
