,Date,ADBE,AMD,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CHTR,CHKP,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DLTR,EBAY,EA,EXC,EXPE,FAST,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MELI,MCHP,MU,MSFT,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PEP,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,NDX
1510,1/2/19,224.5700073,18.82999992,202.1199951,52.73400116,52.29249954,76.95649719,164.6981354,78.138237,143.0099945,37.89333344,31.62188721,148.2177124,128.9600067,117.2226715,162.25,304.6900024,84.95999908,1721.699951,214.7863159,43.22999954,287.9899902,103.5,159.3580322,36.62150192,58.74755096,30.58836555,11.92000008,187.4386444,19.35890198,28.79500008,91.19999695,26.57405281,78.92675018,26.54724503,110.2967072,22.41982079,51.84157181,182.4600067,294.519989,63.56000137,41.06069946,187.6342468,155.343338,84.02877808,128.5755615,21.36000061,20.70000076,123.3499985,103.7789154,298.0100098,33.01670837,32.19575119,96.02326965,35.70276642,24.37999916,42.08250809,267.6600037,33.79047775,69.48415375,341.1499939,31.84780312,56.37458038,94.86418915,50.52337646,372.4400024,79.8515625,57.49000168,5.33660984,61.79135895,103.3199997,58.21862411,84.05000305,64.97635651,104.0100021,20.67466736,82.21864319,27.59000015,247.9700012,147.7599945,105.1734238,164.0800018,54.25294876,159.7400055,36.31246948,41.85005569,6360.87
1511,1/3/19,215.6999969,17.04999924,184.7799988,51.27349854,50.8030014,75.01399994,162.1920319,73.41831207,137.6399994,34.1188736,29.78955841,140.043457,121.8499985,113.6827545,154.7100067,307.0,84.19999695,1663.119995,195.6808929,41.52999878,287.5,102.3499985,156.8081207,35.28965759,56.89451599,30.82865143,11.72249985,183.4657593,19.05578613,28.06500053,90.76000214,26.0858593,77.29655457,26.57736206,106.88871,21.7831192,53.32065582,178.0200043,284.2399902,68.05999756,38.80183792,181.8933411,150.0800018,79.31483459,122.3745499,21.38999939,20.56999969,124.3600006,98.25485992,296.5899963,30.68912315,30.47536278,92.49076843,35.56850815,24.0,40.46323776,271.2000122,31.74895668,66.65032959,346.1300049,31.11023331,55.42158508,93.97873688,49.0270462,372.0799866,79.18439484,56.36999893,5.37279129,55.20853043,100.8099976,55.69327164,81.11000061,64.73739624,99.15000153,20.02400017,77.36997223,26.95999908,243.3600006,142.5899963,101.9596786,163.7299957,53.6868248,154.0200043,33.83532715,41.68515396,6147.13
1512,1/4/19,226.1900024,19.0,186.7100067,53.9034996,53.53549957,78.76950073,167.7363434,75.20079041,143.6600037,35.57539368,31.82967567,146.1030273,128.2799988,118.213501,160.9499969,318.3299866,87.09999847,1717.550049,197.6040955,43.25999832,302.7399902,105.3499985,164.181839,36.87927628,59.3155632,31.86992073,12.14000034,188.7934265,19.6213913,29.05999947,92.88999939,26.68458366,82.90399933,26.8785553,111.390007,22.67712212,55.77216721,187.4299927,302.6900024,72.26999664,41.18280411,189.1104584,157.2266693,84.38926697,128.3524017,22.77000046,21.97999954,128.5500031,104.1169281,315.3299866,31.9338932,32.14659119,96.79244232,36.55303192,24.89500046,42.08433533,297.5700073,33.78304291,69.87311554,341.8200073,32.4917984,57.3535881,95.9058609,49.81922913,397.5499878,81.33840942,59.54000092,5.58082819,57.85438919,108.0400009,57.53976822,83.90000153,67.1966629,101.6999969,21.17933273,80.86938477,28.54999924,255.0299988,148.9700012,106.4608841,172.6999969,55.47292328,163.3500061,35.26845932,42.09305954,6422.67
1513,1/7/19,229.2599945,20.56999969,189.9199982,53.79600143,53.41949844,81.47550201,169.9935303,75.67369843,147.3200073,35.49620819,32.39637756,149.4410248,132.7200012,117.573967,162.6000061,322.3999939,90.19000244,1711.819946,201.62854,43.41999817,301.4700012,104.8700027,164.4577942,37.12847137,59.22243881,31.53173256,12.20750046,189.4891663,19.51514626,32.48749924,97.95999908,27.14513588,86.01707458,26.92675018,112.8379059,22.84284019,56.02549744,186.8899994,307.8900146,74.20999908,41.37467575,191.9953156,159.4799957,85.59088898,129.4959564,21.68000031,21.04000092,134.1000061,104.3100739,328.9400024,32.86864853,33.42459488,96.91590118,36.8036499,24.86499977,43.86845398,315.3399963,35.57153702,70.39172363,339.6900024,32.4532814,57.05035019,95.08118439,49.67838287,396.6300049,84.76008606,62.91999817,5.626053333,58.63632965,112.9000015,57.53976822,85.76000214,68.14253998,104.4100037,22.3306675,82.26219177,29.18000031,271.0,151.3999939,106.5673599,175.8500061,55.79187012,163.5,36.52126694,41.91080093,6488.25
1514,1/8/19,232.6799927,20.75,192.9499969,54.26850128,53.81399918,82.82900238,172.1734772,77.51985168,148.0500031,36.17286682,31.08352089,148.3410034,133.8699951,118.2675323,163.3999939,324.4400024,92.30000305,1686.920044,200.0103149,43.66999817,300.7099915,107.5699997,166.2369385,37.4291954,59.89288712,31.78982544,12.40750027,190.90802,19.79638863,32.88000107,98.59999847,27.63332558,87.42140198,27.34239769,115.2116928,23.43593216,55.64141083,189.2899933,293.75,74.90000153,41.63631821,196.5976563,160.9966736,84.23215485,127.3018188,20.76000023,20.28000069,135.8600006,106.0001297,328.4899902,33.76172256,33.16899109,97.61859894,37.66287994,26.41500092,44.40331268,320.269989,34.68597031,70.78993988,336.0700073,32.76702118,57.48352432,95.99267578,49.2470932,397.2600098,87.24770355,67.23000336,5.7436409,59.27279663,115.0899963,57.58501434,86.09999847,67.47544098,107.9199982,22.35666656,82.15769958,29.47999954,276.0,156.9199982,107.5160065,178.1900024,56.9081955,166.9499969,36.1701088,42.39681625,6551.85
1515,1/9/19,235.4299927,20.19000053,200.3200073,54.08250046,53.73300171,82.97100067,171.967514,79.48421478,150.6399994,36.78714752,32.39637756,154.4954071,136.7700043,118.3756332,166.6399994,326.6300049,90.86000061,1649.48999,208.6607208,43.84999847,297.6400146,107.5,167.6926727,37.22297668,59.83702087,32.09241867,12.57499981,192.1437836,19.99325943,34.6875,97.16999817,27.90044785,87.31336212,27.11951637,112.8970261,23.5013504,55.51884842,192.2200012,305.2399902,73.69999695,41.87178421,195.9884338,172.3699951,86.40424347,133.8747559,20.90999985,20.34000015,136.0,105.4593201,339.9599915,35.09905624,34.84022522,99.01448059,37.52862167,26.66500092,47.33960724,319.9599915,35.36812973,74.03123474,343.5400085,32.27162933,57.44887161,93.3102951,49.82802582,399.5799866,86.10395813,69.37999725,5.481332302,61.54587936,115.9100037,57.82036591,86.95999908,67.42566681,107.4599991,22.56866646,83.7768631,30.18000031,281.1900024,155.6399994,107.9225616,182.3000031,57.59392548,166.1799927,37.76459122,42.05833817,6600.69
1516,1/10/19,237.7700043,19.73999977,202.6399994,53.94150162,53.51649857,82.81099701,173.950058,80.58461761,152.6000061,36.90473175,32.83084488,154.2014771,136.7100067,119.3123932,168.3500061,331.1900024,93.94000244,1677.329956,211.4057922,44.31999969,292.6700134,107.8199997,168.8629761,37.15423965,60.34915924,31.87882805,12.64999962,192.8212128,20.21512985,35.47499847,96.41000366,28.15835953,89.37566376,27.58335495,112.4833374,23.7586422,55.60055923,192.7200012,309.769989,75.12000275,42.35147858,199.2765045,172.6900024,86.61685181,134.4047089,20.55999947,19.79000092,131.6100006,106.28022,339.5899963,35.45537186,35.30226517,98.37826538,37.89558792,26.62999916,46.73696899,324.6600037,36.02547836,74.11457825,343.4400024,32.56335449,58.4018898,93.88322449,49.99525833,408.0599976,86.47570038,71.0,5.490377903,62.36418533,116.6999969,58.10094833,87.81999969,67.66461945,110.0,22.99799919,85.06519318,30.07999992,277.0299988,157.7599945,109.035759,186.0299988,57.79327011,167.9600067,37.78357697,42.76134491,6620.94
1517,1/11/19,237.5500031,20.27000046,198.25,53.2234993,52.85950089,82.02799988,172.1305695,81.90329742,154.75,36.54239655,32.84973145,153.6419373,136.7400055,118.5827713,166.1100006,333.2099915,94.45999908,1665.890015,212.2954407,44.45000076,294.5400085,105.3899994,169.1579285,37.3690567,60.45159531,31.70973015,12.66499996,192.7021942,20.38074875,35.27500153,97.27999878,28.0109787,89.07123566,27.58335495,112.5030212,23.91564369,55.6986351,192.9100037,307.0700073,74.65000153,42.67417145,199.3635101,168.4400024,86.91262817,133.977005,20.90999985,20.34000015,132.1600037,105.6717758,344.9500122,35.69136429,35.40057755,97.61859894,37.79713821,27.18499947,44.5883255,337.5899963,36.91848755,73.60522461,338.730011,32.71747971,58.29792786,93.891922,50.61140823,408.6300049,86.93317413,71.41000366,5.490377903,63.66438293,117.1699982,57.68458557,87.70999908,68.70010376,109.0299988,23.15066719,85.82250977,29.81999969,284.1099854,157.9299927,108.4259186,188.1600037,57.17929459,167.4600067,37.99237823,42.7787056,6601.4
1518,1/14/19,234.5599976,20.22999954,193.9400024,52.57550049,52.23450089,80.86049652,168.8863983,79.57514954,153.6000061,35.99290848,31.98079491,150.4841309,134.75,117.9072342,163.0299988,330.4200134,93.15000153,1692.880005,212.5495911,44.38000107,291.5599976,104.3000031,168.0827789,37.12847137,60.18154907,31.83431625,12.47999954,191.3199768,20.39637375,35.68500137,97.23000336,27.82675934,86.98930359,27.13155746,113.4781418,23.57984543,54.95500565,189.7899933,299.1900024,73.54000092,42.16833115,198.3964081,167.5700073,85.43372345,130.5557404,21.39999962,20.87999916,139.7299957,104.4259644,339.769989,34.35403824,34.08324814,96.9063797,38.0208931,27.07500076,43.97652054,332.9400024,37.31786346,72.79953003,341.1499939,33.00920868,58.24594116,93.16271973,50.43535995,400.730011,86.38037872,70.33999634,5.381836414,62.14595032,114.3199997,57.35873795,87.41000366,67.61484528,104.9800034,22.29333305,83.85518646,29.64999962,274.8999939,157.0,107.622467,183.9100037,56.33408737,163.3300018,36.12265396,42.46625519,6541.04
1519,1/15/19,242.3600006,20.37999916,195.0500031,54.32550049,53.85749817,83.72799683,171.1178284,79.67518616,156.1600037,36.72956467,31.87689781,150.9962158,135.8800049,119.1953201,167.9299927,337.5400085,94.93000031,1698.310059,217.3111267,45.27000046,294.0,105.9000015,168.9200745,37.82446289,61.4479332,31.88772583,12.34000015,193.1782227,20.3463707,36.76250076,95.94999695,28.25047302,87.8829422,27.58335495,114.975296,23.80661774,55.9928093,196.0099945,305.480011,78.76000214,42.38636398,202.9030609,171.8200073,85.516922,130.1560059,21.92000008,21.40999985,141.1300049,106.4057388,350.1000061,34.71035385,33.41476059,99.71718597,38.4325943,27.37999916,45.24775696,354.6400146,37.17647552,72.29944611,344.1499939,32.78903198,59.03432846,94.61241913,49.05344391,405.019989,86.59004974,72.01000214,5.408972263,62.23687363,117.8799973,58.00139236,88.47000122,66.84818268,106.4899979,22.96199989,84.98684692,30.53000069,278.4899902,160.4499969,109.0164032,186.6799927,57.24308777,164.4700012,35.76199722,43.29944229,6669.64
