,Date,ADBE,AMD,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CHTR,CHKP,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DLTR,EBAY,EA,EXC,EXPE,FAST,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MELI,MCHP,MU,MSFT,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PEP,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,NDX
2015,1/4/21,485.3399963,92.30000305,526.460022,86.3065033,86.41200256,159.3314972,205.9871216,138.3227234,357.6700134,127.1641388,84.67950439,486.0966797,296.8399963,159.097168,216.8000031,242.9499969,86.30000305,2164.080078,391.1867676,135.7599945,647.0300293,129.8800049,333.5648499,40.18951797,75.89849091,46.64658737,30.16250038,363.677002,28.24338341,89.43499756,106.9400024,48.84599686,137.1872711,26.55700874,131.3699951,44.0992012,53.08132935,491.769989,367.7600098,86.44999695,45.50430679,364.2201538,266.6666565,250.9933014,461.4232178,24.30999947,23.53000069,356.3999939,122.7127762,1640.0,65.43724823,72.79679871,211.9966278,54.11563873,45.29999924,92.5958252,522.8599854,130.8401031,153.8557739,453.9700012,50.05370712,83.39387512,132.7121429,139.0106354,482.8599854,113.0528412,168.4299927,5.675809383,141.9678802,166.3699951,97.03307343,254.6999969,131.8544006,201.8500061,243.2566681,149.4439392,33.5,282.4700012,213.5800018,199.0172882,229.4299927,35.55595398,228.0800018,52.22999954,60.07714462,12694.66
2016,1/5/21,485.6900024,92.76999664,543.6500244,87.00250244,87.04599762,160.9255066,206.9868011,140.7951813,359.8299866,128.7363739,87.34064484,491.3075867,301.7000122,158.6545868,214.0,246.3899994,85.90000153,2188.070068,393.8362732,136.1399994,636.5900269,128.7400055,338.7003784,40.20780945,76.11830139,46.36827087,30.03249931,359.4581604,28.72164536,92.1875,107.1299973,49.34869385,138.9671173,26.51831055,137.1399994,44.68225479,52.98418808,497.2600098,374.8999939,85.87000275,46.36547852,361.447113,268.3500061,256.2575378,477.3792725,25.43000031,24.93000031,366.5,124.0110092,1650.0,66.87306976,75.95246124,212.2011261,54.17170334,45.70999908,97.21892548,520.7999878,133.7460785,157.3024292,451.2799988,50.48500061,83.08008575,133.1076813,142.6895142,483.4500122,113.1494064,169.0,5.740203381,147.2238464,166.7200012,97.35305786,258.8900146,131.2769318,204.7400055,245.0366669,150.5402069,34.25,280.3599854,206.5,198.1246185,228.5800018,35.34983826,225.3600006,53.06000137,59.49154663,12802.38
2017,1/6/21,466.3099976,90.33000183,540.3900146,86.14399719,86.76450348,156.9190063,211.976059,141.4298401,349.8999939,124.402916,88.53964996,476.5886536,302.8699951,158.0990295,203.9700012,247.75,87.73999786,2249.810059,391.4075317,130.6399994,624.5100098,126.4199982,340.7390747,40.59178543,76.596138,46.90635681,29.45000076,353.9859619,29.48559189,93.98000336,112.9700012,50.47736359,134.5223846,27.3826828,143.4199982,45.44113922,54.70616913,483.6000061,376.5499878,84.30999756,46.81438065,353.7355042,264.2633362,255.6983185,479.2519531,26.21999931,25.69000053,363.25,127.2566223,1571.97998,68.15625763,75.80501556,206.6988678,54.06892395,45.34999847,99.17153168,500.4899902,125.8613205,160.1983948,465.1799927,52.47013855,84.12297058,131.4794769,141.5287781,470.0899963,118.0937042,166.75,5.997776031,149.2866821,161.6000061,98.05893707,249.6999969,130.9583282,201.5299988,251.9933319,151.2864075,33.59000015,291.1900024,199.5099945,196.2509918,226.6499939,36.95586014,220.0,53.40999985,60.80910873,12623.35
2018,1/7/21,477.7399902,95.16000366,558.3599854,88.71700287,89.36250305,158.1080017,212.6758575,147.4072113,365.019989,128.6479492,92.17559052,487.4868469,315.2000122,158.9936066,207.8899994,250.4400024,90.69000244,2239.850098,407.9024963,137.0500031,629.7700195,127.0599976,344.6902161,41.10375977,77.36065674,46.99913025,30.21750069,351.9770203,30.182127,96.79000092,114.75,50.3256073,138.3967896,27.11175728,142.2899933,46.00569534,55.20952988,495.1900024,382.4100037,90.05000305,47.81296921,361.2120056,269.4033203,268.2127991,496.598053,25.96999931,25.45999908,367.2900085,128.2007751,1597.969971,70.93247223,77.77116394,212.5809021,53.96615219,46.75,107.0968323,508.8900146,133.1399231,166.1517029,469.8999939,52.22790146,84.47367859,131.0563507,145.7505341,481.2000122,117.832962,176.3600006,5.905786037,153.2333679,163.0399933,97.26836395,258.8399963,132.6111145,208.0099945,272.0133362,154.7134857,33.20000076,292.4200134,200.0,197.1436768,232.8999939,38.87107086,226.2100067,54.74000168,59.61965942,12939.57
2019,1/8/21,485.1000061,94.58000183,570.5300293,89.89150238,90.36049652,159.1349945,216.7381744,148.4776459,374.6600037,129.7583618,93.15037537,494.593689,319.8500061,161.065155,240.25,252.5399933,89.86000061,2281.540039,409.9724731,136.1900024,634.3800049,131.9600067,339.923584,41.19517517,78.31632996,47.8155365,30.54500008,353.9095154,30.76310921,97.02249908,112.9700012,51.67243576,139.4981537,27.22787285,144.0200043,46.96819305,55.66872406,513.2000122,379.6099854,93.83000183,47.31826401,367.5128174,272.9166565,273.0237732,484.213501,25.60000038,25.11000061,365.4599915,127.5516434,1719.0,70.31235504,76.10975647,213.8761292,54.36790848,47.49499893,109.6620331,510.3999939,132.4689331,166.1897125,477.9200134,51.87340927,84.92590332,132.629364,146.6305084,498.730011,118.2096024,177.6600037,5.436635017,153.9869385,165.3999939,99.45183563,262.7999878,134.4729767,210.4299927,293.3399963,157.6798553,33.75,294.2600098,202.4400024,197.0750122,237.0,38.82813263,227.6499939,51.81999969,60.16863251,13105.2
2020,1/11/21,474.2399902,97.25,557.039978,87.8144989,88.33599854,155.710495,215.9020844,149.9554443,373.3299866,126.7416,95.48984528,493.8256226,317.8099976,158.6734314,219.5500031,267.519989,81.23999786,2221.27002,410.0828247,134.6900024,641.1300049,133.9100037,329.5845947,41.46944046,76.58657837,47.79698181,30.21750069,348.2363892,30.81125641,92.66000366,112.4300003,51.15077591,138.8687897,27.00209999,142.9600067,46.71830368,55.20069504,506.5499878,372.480011,93.31999969,47.21748734,365.4321594,271.2166748,278.7411194,498.5479126,25.57999992,25.11000061,361.6600037,126.5386505,1761.550049,70.5079422,77.33859253,211.8018646,53.34016418,46.47000122,104.5220566,499.1000061,135.9086914,164.4615936,483.8299866,52.12155151,83.98455048,130.7067871,146.1343536,502.9200134,116.7224503,179.0399933,5.464230537,152.6399994,166.5099945,98.44480896,260.4299927,132.3522339,206.5399933,270.3966675,157.8180237,33.11000061,290.1799927,199.1499939,194.1026917,234.6399994,40.96664047,228.8300018,51.56000137,58.92427063,12902.49
2021,1/12/21,471.6499939,95.36000061,552.8800049,86.87149811,87.32749939,156.0415039,215.0114441,150.7037811,373.269989,126.564743,97.48817444,499.6393433,320.1300049,159.1913147,239.4499969,267.3900146,81.12000275,2196.340088,413.4223022,133.7200012,621.4899902,132.7899933,329.5555725,41.86257172,76.10875702,46.39610672,30.45750046,348.4182129,30.77915382,90.04250336,114.1800003,53.15203857,136.7447968,27.14401245,140.9499969,47.77336121,54.82098007,496.730011,361.2799988,94.30999756,48.77491379,358.8859253,262.8099976,280.553772,517.8148804,25.43000031,24.93000031,356.9299927,125.2895737,1810.089966,71.2282486,78.115242,209.3088074,53.55505753,46.99499893,102.8470306,494.25,134.544281,167.186676,495.3999939,52.85415649,83.72612762,130.0996704,144.5804443,505.75,117.0024872,180.3699951,5.409038067,148.9946747,167.0099945,96.76955414,258.5799866,128.130661,199.1499939,283.1466675,158.7300568,32.65999985,294.2200012,198.5800018,192.8960876,229.3800049,41.18994522,225.6199951,49.90000153,58.00929642,12892.09
2022,1/13/21,472.0499878,91.77999878,551.1400146,87.36250305,87.72000122,158.2944946,216.0565643,150.1259308,375.5799866,128.618515,95.57759094,499.7657471,314.3299866,155.048172,236.9400024,266.6700134,81.94000244,2182.419922,415.0966492,134.1199951,618.0100098,129.6799927,326.0024109,41.46944046,76.08008575,46.53525925,29.77499962,351.0490417,30.37792778,90.63749695,112.4700012,52.83904648,134.0700531,27.60845375,140.6100006,46.92192078,54.34411621,497.5799866,362.0,92.73999786,52.17375946,358.1890564,270.4833374,279.6956482,508.2200012,25.12000084,24.67000008,352.1400146,124.4240875,1798.189941,71.88652039,78.55762482,210.6819305,53.60176849,45.93500137,102.46418,507.7900085,135.0131836,168.4589691,482.8099976,52.552845,82.6555481,131.1667175,147.3606415,511.8999939,115.0711212,176.6900024,5.418236256,148.7215271,170.6499939,96.83542633,257.1400146,127.9414902,199.5,284.8033447,157.9101868,32.97999954,294.0100098,199.3999939,193.1315308,227.1000061,42.03159714,229.0700073,49.47000122,59.4824028,12973.63
2023,1/14/21,463.269989,90.79000092,554.6400146,86.54599762,87.00900269,156.3735046,219.6190033,151.0542908,369.0499878,126.6728287,103.1321793,529.505127,311.1099854,152.4586945,249.0,280.2900085,81.36000061,2182.590088,415.8877869,135.3999939,623.0900269,128.6300049,317.5856628,41.27745819,76.5005722,45.99717712,29.31500053,346.648407,30.00879478,88.01999664,109.9700012,52.42172241,136.6267548,27.4665432,144.1699982,46.57024002,55.10354996,488.8999939,371.0400085,92.04000092,54.28086853,358.7288818,265.7133179,292.9813843,538.423584,24.93000031,24.52000046,347.730011,126.8041763,1852.530029,73.11723328,79.92411041,207.4487305,53.54571152,45.68000031,100.2818451,500.8599854,131.7056732,170.9086609,471.5,52.73600006,81.2804184,130.4032135,150.5714722,517.9099731,113.0528412,175.8600006,5.363042831,148.8063202,170.9499969,95.82839966,257.9100037,124.148056,195.4700012,281.6666565,158.1865234,33.0,301.7900085,195.6999969,190.1886597,226.1199951,42.35795975,227.3300018,50.36999893,58.15569687,12898.69
2024,1/15/21,458.0799866,88.20999908,567.2299805,86.3809967,86.80950165,155.2124939,223.0996857,149.4344025,364.2799988,124.933548,100.5392303,512.8319702,308.5100098,151.714798,238.8699951,275.8399963,82.97000122,2119.22998,410.1656189,134.6399994,628.9099731,127.6100006,316.546875,41.53343964,76.68212891,45.1714859,28.94499969,346.4666138,29.98632431,88.55000305,108.3399963,52.56398773,136.6857605,27.96968842,140.6900024,46.71830368,55.92481232,489.4599915,376.3500061,90.55999756,52.75092316,364.1268921,259.4733276,293.2223816,528.5198975,24.77000046,24.45000076,344.5,124.7093124,1851.780029,70.86569977,79.35391998,207.0883942,53.46162033,45.82500076,100.5785599,497.980011,128.3057861,163.5216217,466.6900024,52.08610535,81.55729675,130.0628662,147.0517426,517.9299927,112.9562607,185.75,5.335446358,143.1735687,169.9700012,96.30838776,258.9200134,126.7267914,196.2799988,275.3866577,155.8650208,33.13000107,301.8500061,195.2700043,186.4021606,225.5500031,42.01442719,222.5599976,51.20999908,59.43665695,12803.93
