,Date,ADBE,AMD,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CHTR,CHKP,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DLTR,EBAY,EA,EXC,EXPE,FAST,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MELI,MCHP,MU,MSFT,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PEP,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,NDX
1762,1/2/20,334.4299927,49.09999847,283.6799927,68.43399811,68.36849976,94.90049744,212.3323517,111.776886,259.5899963,73.15264893,59.82452011,291.7939758,187.8300018,156.5695038,138.2200012,294.2399902,84.04000092,2074.580078,283.6313782,71.44000244,490.4299927,112.2600021,260.1463318,42.76403046,58.38274384,40.98098755,23.37000084,269.4526367,23.18386078,54.84500122,93.77999878,33.94134521,105.4124146,28.22984314,110.569191,33.33304214,55.35455704,265.019989,327.0,85.97000122,54.38521576,258.8361816,199.0866699,172.897995,282.8792419,22.47999954,21.60000038,233.4199982,148.3971863,610.1900024,50.61852646,54.45259476,154.7795105,49.62609482,31.85000038,62.23588181,329.8099976,59.74405289,120.4530411,437.519989,45.85585022,75.97653198,121.4012451,80.94994354,373.3500061,112.4747009,112.4100037,6.501072407,112.9195938,151.9799957,82.3928833,142.8699951,78.24841309,122.0800018,28.68400002,115.9534225,36.97000122,254.5500031,196.7299957,147.3083496,219.4499969,48.59398651,167.4600067,64.77154541,55.61412811,8872.22
1763,1/3/20,331.8099976,48.59999847,280.4400024,68.0759964,68.03299713,93.74849701,210.8908081,109.8091965,256.9700012,72.44147491,58.87232971,287.0918579,184.9499969,156.2385712,133.8000031,290.8500061,84.0,2065.47998,276.4172363,70.41999817,494.4700012,112.2900009,258.9742737,42.06631851,57.85472488,40.65581131,23.16500092,269.6745911,23.08883667,54.67499924,93.02999878,33.62343597,105.2749405,28.31683922,108.7260284,32.74212646,55.2187767,264.769989,322.730011,77.90000153,53.72372437,257.1051636,197.7799988,169.5928955,279.8405151,22.11000061,21.25,232.6399994,146.2225037,607.7999878,49.50830841,53.60714722,152.8522949,49.54387665,31.63999939,61.4709549,325.8999939,58.78778458,119.2910767,438.75,45.40600586,75.71765137,121.2314072,79.4256897,369.1600037,112.5035782,112.6500015,6.464599609,110.1167908,152.0599976,81.91336823,141.7599945,77.83024597,122.2099991,29.5340004,114.4141769,36.18000031,250.1699982,200.8800049,148.741272,217.9799957,48.59398651,168.4400024,63.77459717,55.88158798,8793.9
1764,1/6/20,333.7099915,48.38999939,285.8800049,69.89050293,69.71050262,95.14399719,212.5092163,108.5190735,254.5899963,73.01868439,57.60274506,284.808197,187.1199951,156.4499969,135.9400024,290.8200073,84.58999634,2047.400024,276.0038147,70.84999847,497.4500122,112.8000031,259.6467896,42.21646118,57.27957535,40.34870148,23.37249947,269.7484741,22.96846581,56.49750137,93.02999878,33.45513153,106.8265457,28.36033249,108.3374786,32.23178864,55.71096802,266.9299927,325.5299988,77.33999634,53.57176971,259.0792847,198.5866699,165.7763824,274.6176147,22.57999992,21.56999969,235.4299927,144.3319092,606.5499878,48.79794693,52.66339493,153.2473297,49.46167374,31.69000053,61.35735703,335.8299866,59.0343132,118.4476776,434.6600037,45.23875046,75.70872498,121.6961746,78.96019745,371.7399902,113.05233,111.0,6.49195385,108.1771011,154.4600067,81.2678833,141.9799957,78.27828979,124.6900024,30.10266685,113.6177139,35.68999863,250.9499969,202.7400055,149.0825195,224.0299988,49.01346588,169.4900055,62.55062866,55.80134964,8848.52
1765,1/7/20,333.3900146,48.25,283.0599976,69.75550079,69.66699982,95.34300232,210.5105743,110.9879532,256.6700134,72.67526245,59.26666641,287.9011841,187.5,154.5563049,136.6999969,290.0899963,84.20999908,2068.050049,275.0535278,71.06999969,499.1600037,112.0299988,259.4546509,41.94266891,56.87413406,40.77523422,23.34250069,269.3232727,23.1236763,57.86249924,91.93000031,33.30553055,106.4435577,28.38519287,109.6127396,32.16912842,55.2612114,266.1199951,329.6900024,77.13999939,52.67786026,259.1376343,194.2666626,167.0927124,281.3123474,22.28000069,21.39999962,233.6999969,141.9809113,625.0,52.07215881,57.28385544,151.8500824,49.25157547,31.84499931,62.10903549,330.75,59.74901962,119.9844971,428.769989,44.93884277,75.28916168,119.7833633,81.20552826,373.1300049,114.3712616,111.3199997,6.446363926,109.2072601,153.4100037,81.01888275,142.9600067,78.57698059,125.5100021,31.27066612,115.8102341,37.33000183,253.0899963,203.2100067,150.3301849,223.7899933,48.76670837,172.9499969,66.78516388,55.68545151,8846.45
1766,1/8/20,337.8699951,47.83000183,286.0,70.2519989,70.21600342,94.59850311,210.6697235,111.9903564,257.730011,73.84436798,59.22820282,290.8882751,189.9499969,156.0087585,137.8300018,292.6600037,84.70999908,2062.899902,271.6224365,72.27999878,500.769989,111.4800034,264.4599304,41.96916199,57.26071167,41.19270325,23.50250053,272.410675,23.24403954,58.30749893,89.79000092,33.28682709,107.5238113,28.59025192,108.217926,32.41086197,55.83826447,271.6799927,332.1600037,76.52999878,52.71361923,265.3712769,193.9266663,167.3105316,284.8544312,21.36000061,20.46999931,237.2700043,143.7343445,633.4400024,51.41355896,56.54655075,154.2687988,49.37032318,31.90999985,62.67326736,339.2600098,59.8610878,120.2843781,431.8999939,45.5386467,76.0300827,120.4001312,80.96819305,382.4200134,114.7081985,111.1999969,6.437246323,110.9427795,155.7599945,81.9594574,145.8600006,79.07480621,127.8199997,32.8093338,116.1234589,36.86999893,258.0,204.1499939,151.7143707,231.0899963,45.9208107,178.7100067,67.75248718,55.63196182,8912.37
1767,1/9/20,340.4500122,48.97000122,296.5400085,70.98950195,70.99150085,95.05249786,211.2975922,111.9903564,261.4299927,75.41286469,59.603302,290.3968506,191.9400024,157.3876648,140.8600006,294.2999878,89.58000183,2084.290039,269.4405518,73.36000061,507.2799988,111.7099991,268.369873,41.79252625,57.61901855,41.3015976,23.82250023,276.7831116,23.35807991,59.81750107,91.05999756,32.89411545,107.3961639,28.67724609,109.3537064,32.42876816,55.87220764,277.9400024,334.6000061,77.94999695,53.00860596,267.855957,195.2633362,166.1930389,282.9172058,20.79999924,19.96999931,235.8999939,143.4600677,646.4299927,51.89810181,56.34009552,156.1960449,49.49820709,32.125,64.06679535,335.6600037,60.51852798,121.0527802,437.3699951,45.24451828,76.54786682,120.4805527,82.06349182,383.4700012,117.5771179,111.8300018,6.428127766,111.0448761,154.5200043,83.48098755,148.6699982,79.46311188,128.0200043,32.08933258,117.5284729,37.11999893,263.5,208.8800049,153.1765594,230.2599945,44.97493362,179.4799957,67.73274994,55.75677109,8989.63
1768,1/10/20,339.8099976,48.16999817,293.3299866,71.44799805,71.4865036,94.15799713,210.7051086,110.0505371,260.7999878,75.58335876,59.12239838,285.3862915,192.3600006,157.2773438,144.5099945,296.5100098,91.09999847,2086.899902,263.2469177,73.02999878,505.0299988,112.6200027,267.8799438,41.62472916,57.17585373,40.82062149,23.82749939,274.7679749,23.23771095,59.32500076,91.34999847,32.62296677,106.6399536,28.74560165,110.2802658,32.5272522,55.18482971,281.6400146,335.5299988,76.47000122,52.68678665,268.1969299,199.5733337,163.8444519,279.5081177,20.62999916,19.86000061,234.8399963,142.4217224,669.4799805,52.13802719,55.71092987,155.4733276,49.55300903,32.66999817,64.16902924,329.0499878,60.84226227,121.4838638,436.8500061,44.87540436,76.11936188,120.2481689,82.3829422,381.4100037,116.2196884,112.4400024,6.382538319,111.4439621,155.7799988,83.13982391,148.4600067,78.6566391,126.7600021,31.87666702,116.3382339,36.70000076,267.2799988,209.1199951,153.3520355,228.9499969,44.59658051,180.1100006,67.06154633,55.84592056,8966.64
1769,1/13/20,345.6300049,48.75,298.0700073,72.00150299,71.96150208,94.56500244,209.5200806,110.5053253,264.0499878,77.19814301,59.44942093,290.4642944,192.4499969,158.4448395,142.2599945,293.8999939,88.26999664,2080.5,264.9713135,73.38999939,510.1499939,113.4400024,271.7323608,42.36659241,57.66614532,41.56479645,24.06500053,277.1990967,23.65900612,58.95999908,90.76999664,32.47335815,107.8478775,28.70210457,110.1806259,32.76003647,54.57383347,282.2900085,323.1499939,77.09999847,53.26783371,268.9667053,201.0399933,165.8237152,282.3094788,20.77000046,20.0,245.1799927,143.8029633,691.0999756,52.31678772,56.4777298,157.3427887,49.86357498,32.76499939,66.1798172,338.9200134,62.74979782,123.6766205,435.5,45.01959229,77.00314331,122.0358276,83.03096771,378.9299927,115.4976273,105.4700012,6.428127766,115.5553436,156.4600067,83.98818207,149.9299927,79.05490112,128.4499969,34.99066544,116.2935028,37.65000153,275.7000122,211.75,154.0343475,226.4900055,44.46498108,181.9199982,68.23615265,56.49674606,9070.65
1770,1/14/20,344.6300049,48.20999908,287.6099854,71.52950287,71.54399872,93.47200012,212.243866,110.9415512,262.8699951,76.15572357,59.96878433,291.5242004,191.1100006,157.4060211,140.0399933,298.9700012,89.01999664,2071.47998,271.1297302,72.61000061,509.6199951,113.6800003,270.4545898,42.20761871,57.864151,41.77351379,24.08499908,277.0881958,23.64949989,58.76499939,90.56999969,33.05306625,107.6121826,28.4659729,110.001297,32.96596146,54.48049164,284.019989,317.1099854,81.47000122,53.12480927,265.6928101,200.8966675,168.0776367,285.6046753,21.02000046,20.22999954,243.7700043,144.1457672,652.0700073,51.80401611,56.54655075,156.2346344,49.49820709,32.79000092,66.06243134,338.6900024,61.57937241,124.3607178,438.5100098,45.10033798,77.32449341,122.3218765,82.65675354,387.6199951,114.5252991,107.75,6.482836246,114.4694901,157.0399933,83.90516663,148.1900024,79.45316315,126.9300003,35.86133194,116.9378204,38.5,282.6199951,209.3699951,152.923111,229.75,44.92557907,179.9799957,68.31511688,56.58589935,9033.42
1771,1/15/20,342.9400024,48.54999924,274.1000061,71.95999908,71.95999908,93.10099792,213.7472839,109.0666962,264.2799988,75.82935333,59.56483459,289.1441956,190.7899933,158.8584442,139.3999939,293.0899963,88.87000275,2065.159912,266.6957092,71.94000244,515.4000244,113.9199982,273.4519348,42.40192413,58.31673431,42.00040817,24.16749954,278.0773315,23.75403214,58.58499908,90.75,33.03436661,107.6416473,28.92580414,110.3300705,32.93909836,54.39562225,288.4899902,320.3900146,80.54000092,52.68678665,266.0045776,199.0800018,168.4943237,283.3065796,21.38999939,20.5,243.4900055,144.2927094,659.9799805,50.6091156,55.21939087,157.2464294,50.00058746,32.93999863,65.45087433,339.0700073,61.15353775,124.1639252,438.1499939,44.67354965,77.99401093,124.4224091,81.84443665,390.75,113.3796539,106.6500015,6.537543297,111.759491,156.0200043,84.41235352,147.9100037,79.92111206,126.6100006,34.56666565,115.5954361,37.56000137,276.2000122,211.7400055,154.648468,234.1499939,44.76930618,179.1799927,65.80796051,57.47745132,9035.67
