Date,ADBE,AMD,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CHTR,CHKP,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DLTR,EBAY,EA,EXC,EXPE,FAST,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MELI,MCHP,MU,MSFT,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PEP,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,NDX
1/2/13,38.34000015,2.529999971,28.39999962,18.09934807,18.0137291,12.86550045,66.51578522,34.28609848,70.05000305,16.76909256,10.04765511,59.79061127,36.93999863,40.12991333,104.1200027,150,51.91999817,638.4000244,24.21455574,14,78.09999847,49.24000168,36.69881058,14.44159126,34.84987259,15.3994627,3.807499886,80.87834167,5.580914021,3.462500095,39.90000153,20.77539444,14.28871441,14.27863789,59.03687668,17.92933083,27.89825821,47.02500153,55.41999817,17,15.49406433,56.05876541,55.27999878,31.01399994,33.56031799,33.28564072,30.43499947,74.01999664,34.55823135,80.50646973,13.30052853,6.517795086,22.57452202,21.3196907,9.038332939,7.013998032,13.14428616,2.935977936,25.62361145,89.87000275,20.67778397,22.99528885,50.56464005,47.42024612,181.1999969,24.44129372,24.13999939,2.684496164,18.53866005,29.26000023,22.58853531,32.27999878,16.00395584,11.47999954,2.357332945,24.00564384,11.57999992,101.5299988,39.84999847,51.28475571,43.65000153,26.86182404,52.90999985,35.32625961,19.22389603,7851.945602
1/3/13,37.75,2.49000001,29.17000008,18.10985947,18.0241909,12.92399979,66.0979538,33.73283768,69.76999664,16.5574379,10.02219772,58.53714752,36.36999893,40.28798294,104.9800034,147.8600006,52.16999817,648.7299805,24.34106636,13.63000011,77.98000336,47.18000031,36.86486816,14.51969147,34.4928627,15.22756004,3.779999971,81.70744324,5.633488178,3.492500067,39.47999954,20.33344269,14.47530174,14.39355469,58.64485931,17.98555756,27.85738182,47,55.54999924,17.10000038,15.45058155,55.86873627,55.96333313,30.74496269,32.91041946,33.36739731,30.60499954,75.08999634,34.83440018,80.9565506,13.16259861,6.783226013,22.27210426,21.2957058,8.701666832,7.063519001,13.79857063,2.938286066,25.49471283,90.20999908,20.58448792,23.03139496,50.58651352,47.20053864,180.7100067,26.38977051,24.46999931,2.737830639,18.4016571,29.35000038,22.74048996,31.89999962,15.88846207,11.88000011,2.318000078,23.69359398,11.67500019,101.9899979,40.02999878,51.8752327,45.15000153,26.67126465,52.29999924,34.98470306,19.16773605,7851.9456
1/4/13,38.13000107,2.589999914,29.30999947,18.46771812,18.38035583,12.95750046,66.38896179,33.13283539,70.5,16.09623528,10.02219772,57.9372673,36.36000061,40.64536285,104.6500015,145.9299927,52.54000092,648.4099731,24.18479156,13.43000031,77.59999847,46.84000015,37.22320175,14.54098701,34.4104805,15.21956158,3.809999943,81.44436646,5.79396677,3.542500019,39.61999893,20.46138,14.6127882,14.49410725,60.16627884,18.0080452,28.14358711,47.43999863,54.75999832,17.28000069,15.33462715,56.30309296,55.58666611,30.64486504,32.98840714,33.45426559,30.76499939,71.94999695,34.95022964,81.00548553,13.08771896,6.842211246,21.85527611,21.3756485,8.648332596,7.164212704,13.71142864,3.035228491,25.17246056,91.65000153,20.79330826,23.22632408,50.65945816,46.50479507,181.0700073,26.01713943,24.97089958,2.75560832,17.93926048,29.68000031,22.871912,31.64999962,16.05345154,12.19999981,2.293333054,23.64157677,11.79500008,97.84999847,40.04000092,51.78812408,45.84999847,26.24074364,52.18999863,34.87084961,19.23794937,7851.9456
1/7/13,37.93999863,2.670000076,28.94000053,18.38713646,18.30015755,13.42300034,66.05321503,33.23413467,70.48999786,16.00154877,9.903391838,56.99716949,36.09000015,40.48728943,102.2900009,146.4199982,52.13999939,657.3800049,24.0508461,13.40999985,77.40000153,47.20000076,37.14455414,14.40608978,34.56152725,15.15159893,3.85374999,80.81455994,5.66115427,3.599999905,39.95999908,20.74437714,14.19050884,14.30257225,60.11960983,17.92557907,28.57472229,47.72000122,50.90000153,17.88999939,15.39985275,56.36643982,55.77777863,30.42587471,32.55514908,33.372509,30.69000053,71.09999847,34.75423813,80.83912659,13.07195091,7.058487415,21.81440926,21.31169319,8.343333244,7.101484299,14.17142868,2.947519302,24.98831367,90.05000305,20.56671333,23.11803055,50.65213394,46.87828445,182.5299988,25.84652519,26.17930031,2.737830639,18.20471191,29.36000061,22.88423538,31.42000008,15.77297115,12.15999985,2.289333105,23.71587944,11.85000038,96.31999969,40.06000137,51.55579376,47.29000092,26.84064484,52.16999817,34.88711548,19.03433037,7851.9456
1/8/13,38.13999939,2.670000076,28.25,18.35085106,18.2640419,13.31900024,65.76967621,32.89126968,71.08000183,16.04460907,9.767613411,56.53159332,36.29999924,40.7209549,101.0899963,144.3899994,51.84000015,657.4199829,23.88713074,13.68000031,77.19999695,48.22000122,37.24942398,14.42028809,34.09923553,15.25554562,3.805000067,80.66307831,5.674989223,3.619999886,39.00999832,20.42261124,13.52272129,14.17808247,60.43696594,17.828125,28.76799774,48.00500107,52.38999939,18.79999924,15.28389835,55.9127388,56.04777908,29.63753128,32.04391098,33.44915771,30.64999962,71.62999725,34.65623474,81.63169098,12.83944321,7.107640743,21.6999836,21.3276844,8.454999924,7.015645027,13.88000011,2.882889509,24.44509125,89.19999695,20.38898849,23.06748581,50.80532074,46.80505753,176.6300049,25.50980568,26.51000023,2.791164875,17.47686386,28.87999916,22.84316635,31.45999908,15.39349461,11.77999973,2.245332956,23.44097328,11.68000031,95.08999634,39.88999939,52.17531967,48.5,26.93946457,51.86999893,34.13895035,19.06943512,7851.9456
1/9/13,38.65999985,2.630000114,27.29999924,18.47147179,18.38409233,13.31750011,66.15766907,32.80554962,72.12999725,15.79385757,9.911882401,56.85390854,36.66999817,40.6178627,104.3399963,144.0800018,51.93000031,651.5900269,24.41547966,13.77999973,78.59999847,48.88999939,37.33683014,14.41318893,34.05804062,15.35947895,3.857500076,80.70294189,5.683290958,3.650000095,38.18000031,20.45362282,13.45397854,14.00091362,59.44757462,17.82437897,28.9426918,48.56999969,52.52999878,19.30999947,15.54479027,56.40272903,56.30333328,29.93160439,32.31251526,33.70465088,31.10499954,71.04000092,34.65623474,84.63552094,12.9813118,7.186286926,21.82257652,21.62346268,8.388333321,7.000788212,13.70142937,2.818262339,24.77655029,88.38999939,20.27346611,23.07470703,51.06057739,47.51544952,183.3999939,25.5457325,27.15999985,2.773386478,17.99063492,29.73999977,22.43657303,31.43000031,15.49248886,11.92000008,2.24266696,23.77531624,11.78499985,94.22000122,39.56000137,52.22372055,48.25,27.13707733,52.75,35.61901474,19.09751701,7851.9456
1/10/13,38.61999893,2.619999886,26.88999939,18.55555534,18.46777725,13.2670002,65.51599121,33.20295334,72.26000214,15.98963833,9.877933502,57.9014473,36.52000046,40.76907349,110.5699997,143.9100037,51.79000092,653.6199951,24.94382477,13.84000015,79,49.29000092,37.31060791,14.51259613,34.35098267,15.39146042,3.880000114,80.31227875,5.683290958,3.732500076,38.13999939,20.54666519,13.74859333,14.01049137,58.58885956,17.43077087,28.96870422,48.63000107,53.63999939,18.95999908,15.79843998,56.62956238,56.54111099,30.40085793,32.79777527,34.02146149,31.32500076,70.58000183,34.76314163,84.43005371,13.22170639,7.294425964,21.62642097,21.83129692,8.126667023,7.302875042,14,2.822878838,26.06555557,87.73999786,20.44231033,22.99528885,51.6440506,47.44221497,183.7700043,25.72531319,27.18000031,2.782275915,18.25609016,29.77000046,22.39961433,31.46999931,16.05345154,11.97999954,2.235332966,24.09479904,11.97000027,94.31999969,38.86999893,52.14627075,46.79999924,27.22176743,53.20000076,35.91175842,19.09751701,7851.9456
1/11/13,38.09000015,2.670000076,25.87000084,18.51826859,18.43066788,13.39700031,64.88180542,32.93022537,72.83000183,15.89159584,9.937336922,58.57296371,36.79999924,40.83779144,112.9700012,143.7899933,51.56000137,655.4899902,25.55402946,13.93999958,78.38999939,48.45999908,37.21447372,14.54098701,35.91632843,15.37546921,3.95875001,79.94558716,5.683290958,3.704999924,38.11999893,20.81803703,13.98428154,14.02485466,58.43951797,17.43077087,29.02074432,48.54999924,52.68000031,18.20000076,15.9433794,56.82012177,56.22222137,30.7762394,33.30901337,34.49156952,31.81500053,70.83999634,34.63841248,84.69421387,13.23747253,7.412394524,21.92883301,21.91923332,8.486666679,7.530880451,14.47000027,2.818262339,25.78012848,88.01000214,20.45119286,22.94474983,51.69511032,47.53009033,179.4600067,25.39757729,26.87000084,2.808942318,18.29890442,32.27000046,22.5926342,31.80999947,15.73997211,12.31000042,2.194000006,24.08737183,12.14000034,93.38999939,38,52.17531967,47.31000137,27.59583473,52.79000092,35.76539612,19.07646179,7851.9456
1/14/13,38.15999985,2.640000105,26.63999939,18.09934807,18.0137291,13.63650036,64.85194397,32.91464615,72.95999908,15.32501125,9.971283913,57.65970993,36.83000183,40.83093262,112.6399994,143.8800049,52.97999954,662.9199829,25.72517967,14.02000046,78.18000031,48.15000153,36.92605209,14.88889313,35.9071846,15.55936909,3.984999895,80.01731873,5.713726521,3.660000086,38.04000092,20.61644554,14.17087078,14.08710289,58.69152832,17.41952705,28.90551949,47.97999954,52.61999893,19.21999931,15.9433794,56.8745575,56.96888733,30.60731506,33.11838913,34.11854935,31.38500023,72.30000305,34.50477982,85.08557892,13.04831028,7.47137928,21.97787285,21.96719742,8.461667061,7.470077038,14.77857113,2.81595397,26.12080193,88.55000305,20.52228165,23.29851913,51.99411392,47.04673386,179.3999939,25.25389671,27.63999939,2.800054073,17.99063492,31.29999924,22.45299721,32.50999832,15.69047546,12.19999981,2.217333078,24.02792931,12.14500046,94.98999786,38.38000107,52.67866898,47.34000015,27.55348015,51.25999832,36.35091782,19.01327133,7851.9456
1/15/13,38.15000153,2.680000067,26.34000015,18.14139175,18.05557251,13.59500027,63.47909927,32.74320984,73.05999756,14.84151745,9.988253593,56.4778595,36.70999908,40.64536285,111.6600037,143.0099945,53.75999832,663.3499756,25.20427322,13.89000034,78.31999969,48.29000092,36.98723221,14.89599323,35.77444839,15.67131424,3.977499962,80.63915253,5.749696255,3.650000095,38.59999847,20.35670471,14.34763527,14.24511433,59.28889847,17.63319397,28.75313377,47.47499847,51.61999893,19.54000092,15.85641098,57.11956406,55.95444489,30.2757206,32.9970665,34.13898849,31.29000092,69.47000122,34.88786316,85.34979248,13.01284313,7.47137928,22.23940849,22.15105247,8.508333206,7.368742943,14.52714252,2.76517415,26.04714394,89.72000122,20.48229599,23.16134834,52.22022247,47.19319534,174.8399963,26.03958511,29.36000061,2.791164875,17.55392647,33.45999908,22.37497139,32.54999924,15.80596733,12.46000004,2.25999999,23.98334885,12.28499985,94.59999847,39.36000061,53.26915741,47.08000183,27.73698235,51.04000092,36.46475983,18.99220467,7851.9456
